id,number,manufacturer,name,description,productStatus,inventory,price
WP503695,WP503695,Whirlpool,"Cork, Sealer (Replaces: 503695)","Cork, Sealer (Replaces: 503695)",backordered,0,$73.30
WP505587,WP505587,Whirlpool,"Sealer, Mastic (1 Qt)","Sealer, Mastic (1 Qt)",backordered,0,$109.20
479502,479502,Whirlpool,"Tape, Vinyl (3/4 X 108"")","Tape, Vinyl (3/4 X 108"")",discontinued,0,
212643,212643,Whirlpool,"Sealer, Gum (4 Feet)","Sealer, Gum (4 Feet)",in_stock,63,$58.50
511873,511873,Whirlpool,White Porcelain (2 Oz.),White Porcelain (2 Oz.),backordered,0,$26.70
606755,606755,Whirlpool,Bag,Bag,backordered,0,$51.80
876029,876029,Whirlpool,"Kit, Foam Slab (30"" X 32 1/2"" X 1 1/2"")","Kit, Foam Slab (30"" X 32 1/2"" X 1 1/2"")",backordered,0,$226.70
876370,876370,Whirlpool,"Insulation, Fiberglass (63 1/2"" X 35 1/2"" X 2 5/8"")","Insulation, Fiberglass (63 1/2"" X 35 1/2"" X 2 5/8"")",backordered,0,$138.60
876370,876370,Whirlpool,"Insulation Kit (14 Pieces, 3"" X 24"" X 48"")","Insulation Kit (14 Pieces, 3"" X 24"" X 48"")",backordered,0,$138.60
876370,876370,Whirlpool,"Insulation (2 Pieces, 3"" X 24"" X 48"")","Insulation (2 Pieces, 3"" X 24"" X 48"")",backordered,0,$138.60
833938,833938,Whirlpool,"Kit, Terminal Connector","Kit, Terminal Connector",backordered,0,$4.80
WP4317852,WP4317852,Whirlpool,"Cement, Alumilastic (1 1/4 Oz.)","Cement, Alumilastic (1 1/4 Oz.)",backordered,0,$42.50
WP542638,WP542638,Whirlpool,"Grease, Silicone (1/2 Oz.) 
(Replaces: 542638)","Grease, Silicone (1/2 Oz.) 
(Replaces: 542638)",in_stock,92,$43.00
